Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
104500,,,,,,,2.4,,,,,
104500,,,,,,,2.8,,,,,
104500,,,,,,,4.4,,,,,
104500,,,,,,,4.8,,,,,
104500,,,,,,,2.8,,,,,
104500,,,,,,,5.0,,,,,
104500,,,,,,,3.7,,,,,
104500,,,,,,,4.0,,,,,
104500,,,,,,,4.2,,,,,
104500,,,,,,,3.5,,,,,
104500,,,,,,,2.0,,,,,
104500,,,,,,,3.3,,,,,
104500,,,,,,,5.0,,,,,
104500,,,,,,,3.4,,,,,
104500,,,,,,,3.6,,,,,
104500,,,,,,,2.8,,,,,
104500,,,,,,,3.0,,,,,
104500,,,,,,,3.9,,,,,
104500,,,,,,,4.5,,,,,
104500,,,,,,,4.0,,,,,
104500,,,,,,,5.0,,,,,
104500,,,,,,,3.4,,,,,
106000,,,,,,,3.2,,,,,
106000,,,,,,,4.0,,,,,
106000,,,,,,,2.8,,,,,
106000,,,,,,,3.2,,,,,
106000,,,,,,,3.4,,,,,
106000,,,,,,,3.4,,,,,
106000,,,,,,,3.5,,,,,
106000,,,,,,,3.3,,,,,
106000,,,,,,,3.7,,,,,
106000,,,,,,,3.6,,,,,
106000,,,,,,,2.7,,,,,
106000,,,,,,,4.5,,,,,
106000,,,,,,,2.5,,,,,
106000,,,,,,,4.4,,,,,
106000,,,,,,,4.3,,,,,
106000,,,,,,,5.0,,,,,
106000,,,,,,,4.4,,,,,
106000,,,,,,,3.2,,,,,
106000,,,,,,,4.8,,,,,
106000,,,,,,,3.0,,,,,
106000,,,,,,,4.2,,,,,
106000,,,,,,,4.2,,,,,
106000,,,,,,,3.4,,,,,
106000,,,,,,,3.1,,,,,
106000,,,,,,,3.7,,,,,
106000,,,,,,,4.0,,,,,
72000,,,,,,,4.3,,,,,
72000,,,,,,,3.8,,,,,
72000,,,,,,,2.4,,,,,
72000,,,,,,,4.0,,,,,
72000,,,,,,,3.2,,,,,
72000,,,,,,,3.3,,,,,
72000,,,,,,,5.0,,,,,
72000,,,,,,,3.2,,,,,
72000,,,,,,,3.1,,,,,
72000,,,,,,,3.9,,,,,
72000,,,,,,,2.5,,,,,
72000,,,,,,,3.1,,,,,
72000,,,,,,,4.5,,,,,
72000,,,,,,,3.2,,,,,
72000,,,,,,,4.4,,,,,
72000,,,,,,,3.4,,,,,
36500,,,,,,,-1.0,,,,,
36500,,,,,,,2.0,,,,,
36500,,,,,,,4.2,,,,,
36500,,,,,,,3.6,,,,,
36500,,,,,,,4.3,,,,,
36500,,,,,,,4.3,,,,,
36500,,,,,,,4.1,,,,,
36500,,,,,,,4.6,,,,,
36500,,,,,,,4.0,,,,,
36500,,,,,,,4.1,,,,,
36500,,,,,,,3.6,,,,,
36500,,,,,,,2.6,,,,,
36500,,,,,,,2.9,,,,,
36500,,,,,,,3.4,,,,,
36500,,,,,,,3.8,,,,,
36500,,,,,,,2.7,,,,,
36500,,,,,,,3.3,,,,,
36500,,,,,,,3.5,,,,,
36500,,,,,,,3.5,,,,,
36500,,,,,,,4.1,,,,,
45000,,,,,,,4.0,,,,,
45000,,,,,,,3.5,,,,,
45000,,,,,,,2.9,,,,,
45000,,,,,,,4.2,,,,,
64000,,,,,,,3.5,,,,,
64000,,,,,,,3.7,,,,,
64000,,,,,,,3.3,,,,,
56000,,,,,,,4.3,,,,,
56000,,,,,,,2.5,,,,,
56000,,,,,,,2.7,,,,,
56000,,,,,,,2.7,,,,,
56000,,,,,,,5.0,,,,,
56000,,,,,,,4.9,,,,,
56000,,,,,,,3.5,,,,,
56000,,,,,,,5.0,,,,,
56000,,,,,,,4.9,,,,,
56000,,,,,,,3.4,,,,,
56000,,,,,,,3.1,,,,,
56000,,,,,,,3.8,,,,,
56000,,,,,,,1.0,,,,,
56000,,,,,,,3.5,,,,,
56000,,,,,,,3.8,,,,,
56000,,,,,,,5.0,,,,,
56000,,,,,,,5.0,,,,,
56000,,,,,,,3.0,,,,,
56000,,,,,,,3.8,,,,,
56000,,,,,,,4.9,,,,,
56000,,,,,,,3.5,,,,,
56000,,,,,,,3.8,,,,,
56000,,,,,,,3.2,,,,,
56000,,,,,,,3.1,,,,,
56000,,,,,,,3.5,,,,,
56000,,,,,,,3.2,,,,,
56000,,,,,,,4.9,,,,,
80500,,,,,,,3.7,,,,,
80500,,,,,,,3.5,,,,,
80500,,,,,,,5.0,,,,,
80500,,,,,,,3.2,,,,,
80500,,,,,,,3.4,,,,,
80500,,,,,,,3.1,,,,,
80500,,,,,,,3.4,,,,,
80500,,,,,,,3.5,,,,,
80500,,,,,,,3.6,,,,,
80500,,,,,,,3.7,,,,,
80500,,,,,,,3.6,,,,,
80500,,,,,,,3.3,,,,,
80500,,,,,,,3.3,,,,,
42000,,,,,,,5.0,,,,,
42000,,,,,,,5.0,,,,,
42000,,,,,,,4.3,,,,,
42000,,,,,,,3.1,,,,,
42000,,,,,,,3.3,,,,,
42000,,,,,,,3.3,,,,,
79000,,,,,,,3.1,,,,,
79000,,,,,,,3.6,,,,,
79000,,,,,,,3.7,,,,,
79000,,,,,,,5.0,,,,,
79000,,,,,,,-1.0,,,,,
79000,,,,,,,5.0,,,,,
79000,,,,,,,5.0,,,,,
79000,,,,,,,3.6,,,,,
79000,,,,,,,4.3,,,,,
79000,,,,,,,4.3,,,,,
79000,,,,,,,3.2,,,,,
79000,,,,,,,4.5,,,,,
79000,,,,,,,4.3,,,,,
79000,,,,,,,4.0,,,,,
79000,,,,,,,-1.0,,,,,
79000,,,,,,,3.6,,,,,
79000,,,,,,,5.0,,,,,
79000,,,,,,,3.4,,,,,
79000,,,,,,,3.9,,,,,
79000,,,,,,,3.5,,,,,
79000,,,,,,,3.2,,,,,
79000,,,,,,,4.7,,,,,
79000,,,,,,,4.7,,,,,
79000,,,,,,,4.0,,,,,
79000,,,,,,,3.4,,,,,
53500,,,,,,,-1.0,,,,,
53500,,,,,,,3.7,,,,,
53500,,,,,,,4.1,,,,,
53500,,,,,,,3.1,,,,,
53500,,,,,,,3.7,,,,,
53500,,,,,,,3.9,,,,,
53500,,,,,,,3.8,,,,,
53500,,,,,,,3.5,,,,,
53500,,,,,,,3.8,,,,,
53500,,,,,,,3.8,,,,,
53500,,,,,,,4.2,,,,,
53500,,,,,,,3.1,,,,,
53500,,,,,,,4.1,,,,,
53500,,,,,,,3.9,,,,,
53500,,,,,,,3.5,,,,,
53500,,,,,,,3.9,,,,,
53500,,,,,,,3.9,,,,,
53500,,,,,,,3.9,,,,,
53500,,,,,,,3.7,,,,,
53500,,,,,,,4.7,,,,,
53500,,,,,,,4.0,,,,,
53500,,,,,,,3.5,,,,,
53500,,,,,,,2.9,,,,,
53500,,,,,,,3.1,,,,,
53500,,,,,,,5.0,,,,,
80000,,,,,,,3.2,,,,,
80000,,,,,,,5.0,,,,,
80000,,,,,,,3.2,,,,,
80000,,,,,,,3.9,,,,,
80000,,,,,,,4.5,,,,,
80000,,,,,,,3.9,,,,,
80000,,,,,,,3.1,,,,,
80000,,,,,,,3.6,,,,,
80000,,,,,,,3.3,,,,,
80000,,,,,,,3.7,,,,,
80000,,,,,,,4.6,,,,,
80000,,,,,,,4.5,,,,,
80000,,,,,,,3.9,,,,,
80000,,,,,,,3.8,,,,,
80000,,,,,,,3.0,,,,,
80000,,,,,,,3.9,,,,,
80000,,,,,,,3.4,,,,,
80000,,,,,,,3.5,,,,,
80000,,,,,,,4.0,,,,,
80000,,,,,,,4.5,,,,,
80000,,,,,,,4.0,,,,,
80000,,,,,,,3.5,,,,,
80000,,,,,,,3.4,,,,,
80000,,,,,,,2.1,,,,,
80000,,,,,,,3.8,,,,,
40000,,,,,,,5.0,,,,,
40000,,,,,,,4.0,,,,,
40000,,,,,,,3.8,,,,,
40000,,,,,,,3.8,,,,,
40000,,,,,,,3.6,,,,,
40000,,,,,,,4.9,,,,,
40000,,,,,,,3.6,,,,,
40000,,,,,,,3.4,,,,,
